@relation reopenBugInFuture
@attribute STR numeric
@attribute EB numeric
@attribute DWL numeric
@attribute DN numeric
@attribute OPC numeric
@attribute OPF numeric
@attribute FPC numeric
@attribute FPF numeric
@attribute SS numeric
@attribute locFixMean numeric
@attribute locFixMedian numeric
@attribute DWMCMean numeric
@attribute DWMCMedian numeric
@attribute ReadabilityMean numeric
@attribute ReadabilityMedian numeric
@attribute CDMean numeric
@attribute CDMedian numeric
@attribute CBOMean numeric
@attribute CBOMedian numeric
@attribute DITMean numeric
@attribute DITMedian numeric
@attribute LOCPreFixMean numeric
@attribute LOCPrefixMedian numeric
@attribute LCOMMean numeric
@attribute LCOMMedian numeric
@attribute NOCMean numeric
@attribute NOCMedian numeric
@attribute NOFMean numeric
@attribute NOFMedian numeric
@attribute NOMMean numeric
@attribute NOMMedian numeric
@attribute NOPMMean numeric
@attribute NOPMMedian numeric
@attribute NOPFMean numeric
@attribute NOPFMedian numeric
@attribute NOSMMean numeric
@attribute NOSMMedian numeric
@attribute NOSFMean numeric
@attribute NOSFMedian numeric
@attribute NOSIMean numeric
@attribute NOSIMedian numeric
@attribute RFCMean numeric
@attribute RFCMedian numeric
@attribute WMCMean numeric
@attribute WMCMedian numeric
@attribute BugReopen {false,true}

@data
0.0,0.0,28.0,2.0,11.0,2.0,63.0,69.0,1.0,1048.5,1432.5,-1.5,-6.25,0.0,0.01604355126619339,6.236494538232373,9.475526353667998,31.0,44.75,1.0,2.0,889.0,1389.0,2892.0,33645.75,0.0,0.0,0.0,2.0,57.0,117.75,54.0,115.75,0.0,0.5,0.5,8.75,0.0,0.5,0.0,0.5,56.5,75.25,94.5,212.25,false
0.0,0.0,1.0,2.0,0.0,0.0,337.0,30.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,false
0.0,0.0,119.0,4.0,0.0,0.0,278.0,7.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,false
0.0,0.0,138.0,3.0,151.0,111.0,151.0,111.0,0.3333333333333333,304.0,5082.0,6.0,2.0,0.0,0.0,12.285714285714286,10.294607523374646,20.0,112.33333333333333,3.0,2.3333333333333335,261.0,5064.333333333333,448.0,34124.666666666664,0.0,0.0,4.0,4.0,17.0,160.0,16.0,157.33333333333334,0.0,0.0,0.0,41.0,1.0,0.6666666666666666,1.0,0.6666666666666666,54.0,104.0,41.0,210.33333333333334,false
0.0,1.0,483.0,3.0,0.0,0.0,315.0,16.0,0.3333333333333333,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,false
0.0,0.0,40.0,2.0,144.0,102.0,144.0,102.0,1.0,314.0,464.1578947368421,6.0,0.8421052631578902,0.0,0.0,19.181818181818183,27.99762832419665,19.0,22.57894736842105,1.0,2.1578947368421053,314.0,456.3157894736842,188.0,4634.263157894737,0.0,0.0,3.0,6.684210526315789,21.0,40.63157894736842,15.0,37.421052631578945,0.0,0.21052631578947367,0.0,2.3157894736842106,0.0,1.5789473684210527,0.0,1.5789473684210527,44.0,50.0,45.0,89.0,true
0.0,0.0,26.0,1.0,122.0,87.0,122.0,87.0,0.0,330.0,697.25,4.5,9.799999999999997,0.0,1.0278426052536815E-4,16.55263157894737,32.12453676802321,11.0,23.4,1.0,1.75,301.0,631.2,351.0,4030.45,0.0,0.05,2.0,5.7,18.5,37.5,14.5,35.2,0.0,0.0,0.0,5.7,0.0,0.2,0.0,0.2,29.5,46.8,36.0,79.5,false
0.0,0.0,36.0,2.0,0.0,0.0,17.0,49.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,false
0.0,1.0,1033.0,2.0,0.0,0.0,149.0,108.0,1.0,165.0,319.2692307692308,4.0,0.2307692307692335,0.0,2.9911396827978584E-5,9.15,13.263899198835897,11.0,15.192307692307692,2.0,2.923076923076923,168.5,311.53846153846155,36.5,635.8846153846154,0.0,0.0,5.5,9.26923076923077,13.0,18.384615384615383,9.0,14.192307692307692,0.0,0.11538461538461539,0.0,0.6538461538461539,1.0,2.423076923076923,1.0,2.423076923076923,22.5,34.38461538461539,29.0,51.96153846153846,false
0.0,0.0,119.0,1.0,0.0,0.0,226.0,166.0,1.0,123.0,123.0,1.0,1.0,0.0,0.0,13.0,13.0,9.5,9.5,1.5,1.5,118.0,118.0,99.5,99.5,0.0,0.0,1.5,1.5,8.5,8.5,8.5,8.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,16.0,16.0,15.5,15.5,false
