@relation reopenBugInFuture
@attribute StepToReproduce numeric
@attribute ExpectedBehaviour numeric
@attribute DescriptionLength numeric
@attribute DeveloperInvolvedInDiscussion numeric
@attribute OPastCommit numeric
@attribute OPastFix numeric
@attribute FPastCommit numeric
@attribute FPastFix numeric
@attribute SocialStrength numeric
@attribute locFixMean numeric
@attribute locFixMedian numeric
@attribute DWMCMean numeric
@attribute DWMCMedian numeric
@attribute ReadabilityMean numeric
@attribute ReadabilityMedian numeric
@attribute CDMean numeric
@attribute CDMedian numeric
@attribute CBOMean numeric
@attribute CBOMedian numeric
@attribute DITMean numeric
@attribute DITMedian numeric
@attribute LOCPreFixMean numeric
@attribute LOCPrefixMedian numeric
@attribute LCOMMean numeric
@attribute LCOMMedian numeric
@attribute NOCMean numeric
@attribute NOCMedian numeric
@attribute NOFMean numeric
@attribute NOFMedian numeric
@attribute NOMMean numeric
@attribute NOMMedian numeric
@attribute NOPMMean numeric
@attribute NOPMMedian numeric
@attribute NOPFMean numeric
@attribute NOPFMedian numeric
@attribute NOSMMean numeric
@attribute NOSMMedian numeric
@attribute NOSFMean numeric
@attribute NOSFMedian numeric
@attribute NOSIMean numeric
@attribute NOSIMedian numeric
@attribute RFCMean numeric
@attribute RFCMedian numeric
@attribute WMCMean numeric
@attribute WMCMedian numeric
@attribute BugReopen {false,true}

@data
0.0,0.0,40.0,2.0,144.0,99.0,144.0,99.0,1.0,314.0,464.1578947368421,6.0,0.8421052631578902,0.0,0.0,19.181818181818183,27.99762832419665,19.0,22.57894736842105,1.0,2.1578947368421053,314.0,456.3157894736842,188.0,4634.263157894737,0.0,0.0,3.0,6.684210526315789,21.0,40.63157894736842,15.0,37.421052631578945,0.0,0.21052631578947367,0.0,2.3157894736842106,0.0,1.5789473684210527,0.0,1.5789473684210527,44.0,50.0,45.0,89.0,true
0.0,0.0,1.0,1.0,58.0,5.0,58.0,5.0,0.0,664.0,664.0,0.0,0.0,0.0,0.0,3.3049645390070923,3.3049645390070923,4.0,4.0,1.0,1.0,664.0,664.0,565.0,565.0,0.0,0.0,9.0,9.0,47.0,47.0,45.0,45.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,61.0,61.0,161.0,161.0,true
0.0,0.0,167.0,3.0,13.0,0.0,19.0,0.0,0.3333333333333333,162.0,1682.2,0.0,0.0,0.0,0.02031657248735428,2.0714285714285716,2.0770182920711218,11.0,59.4,1.0,1.6,162.0,1681.8,120.0,14678.0,0.0,0.2,1.0,1.6,7.0,70.6,5.0,69.4,0.0,0.0,4.0,22.6,1.0,0.8,1.0,0.8,6.0,37.4,28.0,101.2,true
0.0,0.0,98.0,3.0,10.0,40.0,16.0,45.0,0.6666666666666666,130.5,178.5,0.0,0.0,0.0,0.0,8.820780399274048,10.6903817881302,7.0,8.0,1.0,1.5,130.5,178.5,65.5,127.125,0.0,0.0,0.5,3.0,10.0,12.25,9.0,11.25,0.0,0.0,0.5,1.5,0.0,1.5,0.0,1.5,19.5,27.5,28.0,32.0,true
0.0,0.0,442.0,3.0,0.0,0.0,1.0,1.0,1.0,8689.0,8689.0,0.0,0.0,0.0,0.0,1.1584158415841583,1.1584158415841583,249.0,249.0,3.0,3.0,8689.0,8689.0,72370.0,72370.0,0.0,0.0,2.0,2.0,321.0,321.0,319.0,319.0,0.0,0.0,91.0,91.0,1.0,1.0,1.0,1.0,183.0,183.0,429.0,429.0,true
0.0,0.0,45.0,6.0,312.0,14.0,319.0,23.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
0.0,0.0,35.0,3.0,53.0,62.0,54.0,63.0,1.0,387.0,630.8636363636364,14.5,9.63636363636364,0.0,4.89996217021888E-5,15.822115384615385,24.051945755760027,15.5,32.63636363636363,1.0,1.1363636363636365,289.5,565.1363636363636,270.5,9480.454545454546,0.0,0.045454545454545456,2.0,3.6818181818181817,17.5,52.36363636363637,15.5,50.81818181818182,0.0,0.0,0.0,9.363636363636363,0.0,1.0909090909090908,0.0,1.0909090909090908,31.0,57.86363636363637,52.5,100.86363636363636,true
0.0,0.0,57.0,0.0,208.0,148.0,208.0,148.0,0.0,149.0,382.125,0.0,3.5,0.0,0.0,12.380952380952381,13.148242594910306,13.0,14.875,1.0,2.125,136.0,352.375,40.5,1225.75,0.0,0.0,8.5,6.0,10.0,23.0,7.0,20.875,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.375,20.5,45.5,30.5,51.625,false
0.0,1.0,123.0,2.0,0.0,0.0,164.0,118.0,0.0,1507.0,6021.333333333333,0.0,0.0,0.0,0.0,27.857142857142858,19.479492789077018,52.0,130.66666666666666,1.0,1.0,1507.0,6020.333333333333,19098.0,44920.666666666664,0.0,0.0,10.0,7.0,65.0,190.0,58.0,183.66666666666666,0.0,0.0,1.0,41.666666666666664,3.0,2.3333333333333335,3.0,2.3333333333333335,144.0,164.0,240.0,336.6666666666667,false
0.0,0.0,176.0,1.0,0.0,0.0,183.0,134.0,1.0,841.0,710.6666666666666,3.0,0.3333333333333286,0.0,0.0,37.57142857142857,53.54334554334554,25.0,22.666666666666668,1.0,2.0,824.0,704.6666666666666,3944.0,3357.6666666666665,0.0,0.0,4.0,8.666666666666666,54.0,44.0,54.0,43.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,82.0,67.33333333333333,107.0,108.0,false
0.0,0.0,51.0,1.0,142.0,97.0,142.0,97.0,0.0,303.5,658.6428571428571,3.5,3.9285714285714306,0.0,0.0,17.12091503267974,20.309954332432707,14.0,21.75,1.0,1.8928571428571428,269.5,635.3928571428571,179.0,3164.160714285714,0.0,0.017857142857142856,2.0,4.839285714285714,17.0,29.321428571428573,15.0,27.392857142857142,0.0,0.0,0.0,3.607142857142857,0.0,0.5178571428571429,0.0,0.5178571428571429,39.0,47.75,39.5,68.14285714285714,false
0.0,0.0,2.0,4.0,0.0,0.0,279.0,9.0,0.16666666666666666,9522.0,9522.0,0.0,0.0,0.0,0.0,1.1484565685570711,1.1484565685570711,270.0,270.0,3.0,3.0,9522.0,9522.0,81772.0,81772.0,0.0,0.0,2.0,2.0,345.0,345.0,343.0,343.0,0.0,0.0,103.0,103.0,1.0,1.0,1.0,1.0,179.0,179.0,452.0,452.0,false
0.0,0.0,39.0,1.0,139.0,95.0,139.0,95.0,0.0,262.0,700.2058823529412,2.5,4.941176470588232,0.0,7.221473189180389E-5,16.09090909090909,19.97790538191452,15.0,23.5,1.0,2.264705882352941,221.0,665.7941176470588,145.0,3273.176470588235,0.0,0.029411764705882353,2.5,6.764705882352941,13.5,30.5,12.0,27.764705882352942,0.0,0.029411764705882353,0.0,4.029411764705882,0.0,0.8529411764705882,0.0,0.8529411764705882,36.0,43.529411764705884,32.0,60.26470588235294,false
0.0,1.0,110.0,2.0,184.0,136.0,185.0,137.0,0.0,1101.5,5244.166666666667,10.5,5.333333333333371,0.0,0.0,28.934782608695652,21.516530946241602,34.0,121.0,1.0,2.0,969.0,5175.166666666667,4423.5,34901.5,0.0,0.3333333333333333,1.5,8.166666666666666,50.5,173.5,46.5,167.5,0.0,0.0,1.0,41.333333333333336,1.0,0.8333333333333334,1.0,0.8333333333333334,115.5,129.16666666666666,132.0,262.3333333333333,false
0.0,1.0,186.0,2.0,1.0,0.0,244.0,172.0,0.0,246.5,1180.4,0.0,-0.3499999999999943,0.0,0.0010072818244225346,11.607142857142858,16.64343022819473,19.0,41.45,3.0,3.55,246.5,1181.575,10.5,5721.475,0.0,0.2,10.0,12.85,17.0,47.225,11.5,42.05,0.0,0.0,0.0,11.325,1.0,1.925,1.0,1.925,28.5,37.5,53.0,101.625,false
0.0,0.0,1.0,2.0,34.0,2.0,34.0,2.0,1.0,212.0,212.0,4.5,4.5,0.0,0.0,4.730458221024259,4.730458221024259,8.5,8.5,2.0,2.0,186.5,186.5,35.5,35.5,0.0,0.0,5.5,5.5,13.5,13.5,9.5,9.5,0.0,0.0,1.5,1.5,0.5,0.5,0.5,0.5,19.5,19.5,41.5,41.5,false
0.0,0.0,48.0,2.0,48.0,4.0,48.0,4.0,1.0,101.0,113.16666666666667,1.0,1.6666666666666679,0.0,0.0,11.214285714285715,11.285714285714285,13.0,10.0,2.0,1.6666666666666667,101.0,101.5,0.0,45.5,0.0,0.0,7.0,5.333333333333333,10.0,12.166666666666666,8.5,11.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.5,20.0,19.5,false
0.0,0.0,522.0,3.0,0.0,0.0,3.0,8.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
0.0,0.0,62.0,2.0,58.0,65.0,58.0,65.0,1.0,263.0,408.3333333333333,2.0,2.3333333333333286,0.0,0.0,8.454545454545455,9.678748266983561,20.0,18.0,3.0,2.3333333333333335,258.0,398.6666666666667,9.0,504.3333333333333,0.0,0.0,8.0,8.666666666666666,11.0,19.333333333333332,8.0,17.666666666666668,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,24.0,48.333333333333336,90.0,73.0,false
0.0,0.0,149.0,3.0,1.0,0.0,158.0,0.0,0.3333333333333333,151.0,151.0,0.0,0.0,0.0,0.0,1.5696202531645569,1.5696202531645569,18.0,18.0,1.0,1.0,151.0,151.0,33.0,33.0,0.0,0.0,1.0,1.0,5.0,5.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,false
0.0,0.0,33.0,2.0,129.0,88.0,129.0,88.0,1.0,96.5,181.425,4.5,6.824999999999999,0.0,2.5061990818358025E-4,8.214285714285714,10.399363876863877,10.0,10.8,1.5,1.725,79.0,140.825,15.0,327.45,0.0,0.0,1.5,2.05,5.5,9.9,5.5,9.1,0.0,0.0,0.0,1.25,0.0,0.225,0.0,0.225,10.0,15.975,10.5,21.925,false
