@relation reopenBugInFuture
@attribute StepToReproduce numeric
@attribute ExpectedBehaviour numeric
@attribute DescriptionLength numeric
@attribute DeveloperInvolvedInDiscussion numeric
@attribute OPastCommit numeric
@attribute OPastFix numeric
@attribute FPastCommit numeric
@attribute FPastFix numeric
@attribute SocialStrength numeric
@attribute locFixMean numeric
@attribute locFixMedian numeric
@attribute DWMCMean numeric
@attribute DWMCMedian numeric
@attribute ReadabilityMean numeric
@attribute ReadabilityMedian numeric
@attribute CDMean numeric
@attribute CDMedian numeric
@attribute CBOMean numeric
@attribute CBOMedian numeric
@attribute DITMean numeric
@attribute DITMedian numeric
@attribute LOCPreFixMean numeric
@attribute LOCPrefixMedian numeric
@attribute LCOMMean numeric
@attribute LCOMMedian numeric
@attribute NOCMean numeric
@attribute NOCMedian numeric
@attribute NOFMean numeric
@attribute NOFMedian numeric
@attribute NOMMean numeric
@attribute NOMMedian numeric
@attribute NOPMMean numeric
@attribute NOPMMedian numeric
@attribute NOPFMean numeric
@attribute NOPFMedian numeric
@attribute NOSMMean numeric
@attribute NOSMMedian numeric
@attribute NOSFMean numeric
@attribute NOSFMedian numeric
@attribute NOSIMean numeric
@attribute NOSIMedian numeric
@attribute RFCMean numeric
@attribute RFCMedian numeric
@attribute WMCMean numeric
@attribute WMCMedian numeric
@attribute BugReopen {false,true}

@data
0.0,0.0,40.0,2.0,144.0,99.0,144.0,99.0,1.0,314.0,464.1578947368421,6.0,0.8421052631578902,0.0,0.0,19.181818181818183,27.99762832419665,19.0,22.57894736842105,1.0,2.1578947368421053,314.0,456.3157894736842,188.0,4634.263157894737,0.0,0.0,3.0,6.684210526315789,21.0,40.63157894736842,15.0,37.421052631578945,0.0,0.21052631578947367,0.0,2.3157894736842106,0.0,1.5789473684210527,0.0,1.5789473684210527,44.0,50.0,45.0,89.0,true
0.0,0.0,1.0,1.0,58.0,5.0,58.0,5.0,0.0,664.0,664.0,0.0,0.0,0.0,0.0,3.3049645390070923,3.3049645390070923,4.0,4.0,1.0,1.0,664.0,664.0,565.0,565.0,0.0,0.0,9.0,9.0,47.0,47.0,45.0,45.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,61.0,61.0,161.0,161.0,true
0.0,0.0,167.0,3.0,13.0,0.0,19.0,0.0,0.3333333333333333,162.0,1682.2,0.0,0.0,0.0,0.02031657248735428,2.0714285714285716,2.0770182920711218,11.0,59.4,1.0,1.6,162.0,1681.8,120.0,14678.0,0.0,0.2,1.0,1.6,7.0,70.6,5.0,69.4,0.0,0.0,4.0,22.6,1.0,0.8,1.0,0.8,6.0,37.4,28.0,101.2,true
0.0,0.0,98.0,3.0,10.0,40.0,16.0,45.0,0.6666666666666666,130.5,178.5,0.0,0.0,0.0,0.0,8.820780399274048,10.6903817881302,7.0,8.0,1.0,1.5,130.5,178.5,65.5,127.125,0.0,0.0,0.5,3.0,10.0,12.25,9.0,11.25,0.0,0.0,0.5,1.5,0.0,1.5,0.0,1.5,19.5,27.5,28.0,32.0,true
0.0,0.0,442.0,3.0,0.0,0.0,1.0,1.0,1.0,8689.0,8689.0,0.0,0.0,0.0,0.0,1.1584158415841583,1.1584158415841583,249.0,249.0,3.0,3.0,8689.0,8689.0,72370.0,72370.0,0.0,0.0,2.0,2.0,321.0,321.0,319.0,319.0,0.0,0.0,91.0,91.0,1.0,1.0,1.0,1.0,183.0,183.0,429.0,429.0,true
0.0,0.0,45.0,6.0,312.0,14.0,319.0,23.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
0.0,0.0,35.0,3.0,53.0,62.0,54.0,63.0,1.0,387.0,630.8636363636364,14.5,9.63636363636364,0.0,4.89996217021888E-5,15.822115384615385,24.051945755760027,15.5,32.63636363636363,1.0,1.1363636363636365,289.5,565.1363636363636,270.5,9480.454545454546,0.0,0.045454545454545456,2.0,3.6818181818181817,17.5,52.36363636363637,15.5,50.81818181818182,0.0,0.0,0.0,9.363636363636363,0.0,1.0909090909090908,0.0,1.0909090909090908,31.0,57.86363636363637,52.5,100.86363636363636,true
0.0,0.0,97.0,1.0,0.0,0.0,9.0,33.0,0.0,9197.0,9197.0,0.0,0.0,0.0,0.0,1.1643441381399575,1.1643441381399575,258.0,258.0,3.0,3.0,9197.0,9197.0,78941.0,78941.0,0.0,0.0,7.0,7.0,342.0,342.0,337.0,337.0,0.0,0.0,98.0,98.0,6.0,6.0,6.0,6.0,197.0,197.0,464.0,464.0,false
0.0,0.0,92.0,1.0,172.0,126.0,172.0,126.0,0.0,429.5,429.5,8.0,8.0,0.0,0.0,26.803846153846152,26.803846153846152,21.5,21.5,3.0,3.0,383.5,383.5,463.0,463.0,0.0,0.0,10.0,10.0,24.5,24.5,19.5,19.5,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,51.5,51.5,88.5,88.5,false
0.0,0.0,6.0,3.0,23.0,0.0,23.0,0.0,0.6666666666666666,689.5,2721.1428571428573,6.0,1.2857142857142776,0.0,0.0,11.271604938271604,25.641288335942615,26.0,79.21428571428571,1.0,2.0,675.0,2705.3571428571427,2913.0,18666.35714285714,0.0,0.35714285714285715,2.0,7.0,48.5,112.0,45.5,109.0,0.0,0.0,0.0,26.071428571428573,0.5,0.6428571428571429,0.5,0.6428571428571429,68.5,99.28571428571429,114.5,167.85714285714286,false
0.0,0.0,55.0,1.0,126.0,85.0,126.0,85.0,0.0,294.5,294.5,0.0,0.0,0.0,0.0,22.75,22.75,23.5,23.5,5.0,5.0,291.5,291.5,70.5,71.0,0.0,0.0,14.5,14.5,21.0,21.0,12.5,12.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,41.5,41.5,84.0,84.0,false
0.0,0.0,66.0,3.0,0.0,0.0,171.0,123.0,0.3333333333333333,172.5,187.25,7.5,7.0,0.0,0.0,15.071428571428573,17.236607142857142,12.5,12.0,1.5,2.0,141.0,157.0,85.5,166.75,0.0,0.0,4.5,4.75,9.5,8.75,7.5,7.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,15.5,17.25,29.0,28.25,false
0.0,1.0,32.0,1.0,188.0,140.0,188.0,140.0,0.0,174.0,214.75,10.5,8.0,0.0,0.005762557499110699,6.413165266106443,8.550332633053221,7.5,8.0,2.0,2.25,140.0,179.75,20.0,88.25,0.0,0.0,2.0,3.25,8.5,9.0,8.0,8.0,0.0,0.0,0.0,0.25,1.0,1.0,1.0,1.0,20.5,22.0,25.0,27.0,false
0.0,0.0,29.0,1.0,169.0,122.0,169.0,122.0,0.0,170.0,156.8,2.0,1.8000000000000007,0.0,0.0,7.857142857142857,14.696103896103898,10.0,9.8,1.0,1.8,143.0,145.2,9.0,11.6,0.0,0.0,3.0,3.4,9.0,9.0,9.0,8.6,0.0,0.0,0.0,1.4,0.0,0.4,0.0,0.4,11.0,19.0,18.0,20.4,false
0.0,0.0,134.0,2.0,186.0,138.0,187.0,138.0,1.0,177.0,224.25,2.0,2.0,0.0,0.0,13.696969696969695,18.43109442640693,21.5,20.0625,4.5,4.125,176.0,222.875,50.0,45.1875,0.0,0.0,11.5,12.625,18.5,17.375,12.5,11.75,0.0,0.0,0.0,0.0,2.0,1.875,2.0,1.875,28.0,28.0,36.5,60.1875,false
0.0,0.0,2.0,4.0,0.0,0.0,279.0,9.0,0.16666666666666666,9522.0,9522.0,0.0,0.0,0.0,0.0,1.1484565685570711,1.1484565685570711,270.0,270.0,3.0,3.0,9522.0,9522.0,81772.0,81772.0,0.0,0.0,2.0,2.0,345.0,345.0,343.0,343.0,0.0,0.0,103.0,103.0,1.0,1.0,1.0,1.0,179.0,179.0,452.0,452.0,false
0.0,0.0,14.0,1.0,243.0,172.0,244.0,172.0,0.0,246.5,1180.4,0.0,-0.3499999999999943,0.0,0.0010072818244225346,11.607142857142858,16.64343022819473,19.0,41.45,3.0,3.55,246.5,1181.575,10.5,5721.475,0.0,0.2,10.0,12.85,17.0,47.225,11.5,42.05,0.0,0.0,0.0,11.325,1.0,1.925,1.0,1.925,28.5,37.5,53.0,101.625,false
0.0,0.0,137.0,1.0,1.0,0.0,250.0,179.0,1.0,137.5,137.5,2.0,2.0,0.0,0.0,13.285714285714285,13.285714285714285,9.0,9.0,1.5,1.5,121.0,121.0,120.0,120.0,0.0,0.0,1.0,1.0,9.5,9.5,9.5,9.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,16.5,16.5,16.5,16.5,false
0.0,0.0,20.0,1.0,171.0,123.0,171.0,123.0,0.0,172.5,187.25,7.5,7.0,0.0,0.0,15.071428571428573,17.236607142857142,12.5,12.0,1.5,2.0,141.0,157.0,85.5,166.75,0.0,0.0,4.5,4.75,9.5,8.75,7.5,7.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,15.5,17.25,29.0,28.25,false
0.0,0.0,896.0,4.0,0.0,0.0,33.0,3.0,0.16666666666666666,1552.5,1684.5,0.5,0.5,0.0,0.0,24.419191919191917,24.674457710748037,167.5,175.25,1.0,1.0,1545.5,1677.5,59226.5,61939.75,0.0,0.0,2.5,2.75,202.5,211.5,198.5,208.25,0.0,0.0,57.5,61.25,1.5,1.5,1.5,1.5,142.5,143.5,310.5,319.0,false
0.0,0.0,226.0,2.0,0.0,0.0,9.0,33.0,0.0,9197.0,9197.0,0.0,0.0,0.0,0.0,1.1643441381399575,1.1643441381399575,258.0,258.0,3.0,3.0,9197.0,9197.0,78941.0,78941.0,0.0,0.0,7.0,7.0,342.0,342.0,337.0,337.0,0.0,0.0,98.0,98.0,6.0,6.0,6.0,6.0,197.0,197.0,464.0,464.0,false
