@relation reopenBugInFuture
@attribute STR numeric
@attribute EB numeric
@attribute DWL numeric
@attribute DN numeric
@attribute OPC numeric
@attribute OPF numeric
@attribute FPC numeric
@attribute FPF numeric
@attribute SS numeric
@attribute locFixMean numeric
@attribute locFixMedian numeric
@attribute DWMCMean numeric
@attribute DWMCMedian numeric
@attribute ReadabilityMean numeric
@attribute ReadabilityMedian numeric
@attribute CDMean numeric
@attribute CDMedian numeric
@attribute CBOMean numeric
@attribute CBOMedian numeric
@attribute DITMean numeric
@attribute DITMedian numeric
@attribute LOCPreFixMean numeric
@attribute LOCPrefixMedian numeric
@attribute LCOMMean numeric
@attribute LCOMMedian numeric
@attribute NOCMean numeric
@attribute NOCMedian numeric
@attribute NOFMean numeric
@attribute NOFMedian numeric
@attribute NOMMean numeric
@attribute NOMMedian numeric
@attribute NOPMMean numeric
@attribute NOPMMedian numeric
@attribute NOPFMean numeric
@attribute NOPFMedian numeric
@attribute NOSMMean numeric
@attribute NOSMMedian numeric
@attribute NOSFMean numeric
@attribute NOSFMedian numeric
@attribute NOSIMean numeric
@attribute NOSIMedian numeric
@attribute RFCMean numeric
@attribute RFCMedian numeric
@attribute WMCMean numeric
@attribute WMCMedian numeric
@attribute BugReopen {false,true}

@data
0.0,1.0,232.0,2.0,345.0,46.0,345.0,46.0,1.0,327.0,473.38461538461536,31.0,3.615384615384613,0.0,0.0,7.388888888888889,7.665699558109688,23.0,39.30769230769231,2.0,3.0,239.0,455.0769230769231,18.0,1006.6923076923077,0.0,0.0,8.0,17.76923076923077,8.0,32.84615384615385,5.0,25.53846153846154,0.0,1.0,0.0,1.0769230769230769,1.0,4.846153846153846,1.0,4.846153846153846,52.0,91.76923076923077,37.0,96.23076923076923,false
0.0,0.0,18.0,1.0,0.0,0.0,1979.0,84.0,0.0,195.0,195.0,0.0,0.0,0.0,0.0,9.117647058823529,9.117647058823529,7.0,7.0,1.0,1.0,194.0,194.0,9.0,9.0,0.0,0.0,9.0,9.0,14.0,14.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,22.0,22.0,87.0,87.0,false
0.0,0.0,213.0,3.0,180.0,5.0,143.0,38.0,0.6666666666666666,236.0,200.33333333333334,1.0,0.8333333333333286,0.0,0.011252212027708689,8.65948275862069,8.3855021893815,13.5,14.666666666666666,2.0,2.0,233.5,198.16666666666666,10.5,16.0,0.0,0.0,0.5,5.5,6.0,7.833333333333333,3.5,6.5,0.0,0.0,0.0,0.5,0.0,2.0,0.0,2.0,42.0,36.666666666666664,42.0,39.333333333333336,false
0.0,1.0,215.0,3.0,0.0,0.0,514.0,68.0,0.3333333333333333,180.0,606.6666666666666,-18.0,-6.666666666666686,0.0,0.0,11.342592592592593,10.083245149911816,25.0,54.666666666666664,2.0,2.3333333333333335,194.0,624.6666666666666,36.0,370.0,0.0,0.0,2.0,18.333333333333332,5.0,22.666666666666668,4.0,13.666666666666666,1.0,1.6666666666666667,0.0,0.3333333333333333,2.0,2.3333333333333335,2.0,2.3333333333333335,60.0,103.0,68.0,161.33333333333334,false
0.0,0.0,4.0,1.0,824.0,132.0,825.0,132.0,0.0,165.0,165.0,1.0,1.0,0.0,0.0,7.722222222222222,7.722222222222222,4.0,4.0,1.0,1.0,161.0,161.0,19.0,19.0,0.0,0.0,41.0,41.0,10.0,10.0,9.0,9.0,41.0,41.0,4.0,4.0,35.0,35.0,35.0,35.0,12.0,12.0,33.0,33.0,false
0.0,1.0,48.0,1.0,14.0,1.0,380.0,60.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,false
0.0,0.0,2.0,1.0,198.0,43.0,199.0,43.0,0.0,897.5,897.5,2.5,2.5,0.0,0.0,13.253385602280826,13.253385602280826,44.5,44.5,2.0,2.0,877.0,877.0,304.5,304.5,0.0,0.0,5.5,5.5,26.0,26.0,16.0,16.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,132.0,132.0,101.0,101.0,false
0.0,0.0,74.0,2.0,0.0,0.0,95.0,25.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,false
0.0,0.0,105.0,3.0,0.0,0.0,0.0,0.0,0.3333333333333333,82.0,82.0,0.0,0.0,0.0,0.0,4.571428571428571,4.571428571428571,11.0,11.0,1.0,1.0,82.0,82.0,0.0,0.0,0.0,0.0,6.0,6.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,9.0,9.0,10.0,10.0,false
0.0,0.0,122.0,2.0,177.0,45.0,177.0,45.0,1.0,353.5,353.5,-1.0,-1.0,0.0,0.0,6.102347883597883,6.102347883597883,15.5,15.5,2.0,2.0,363.0,363.0,18.0,18.0,0.0,0.0,6.0,6.0,14.5,14.5,10.5,10.5,2.5,2.5,1.5,1.5,3.0,3.0,3.0,3.0,37.0,37.0,43.5,43.5,false
0.0,0.0,20.0,3.0,142.0,38.0,155.0,43.0,0.3333333333333333,42.0,81.2,0.0,0.0,0.0,0.04211791956331581,2.142857142857143,2.9813371813371816,1.0,7.8,1.0,1.2,41.0,80.0,0.0,5.8,0.0,0.0,2.0,2.6,3.0,4.2,2.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.4,3.0,12.6,false
